date,mobile_device_brand,mobile_device_os,credit_card_type,currency
2025-09-27,Prestigio,Android 4.1,jcb,Euro
2025-05-17,Lava,Android 10,jcb,Dollar
2025-06-28,Samsung,"Android 2.3, up to 4.1, TouchWiz UI",diners-club-carte-blanche,Baht
2025-03-27,Gionee,Android 4.2,diners-club-carte-blanche,Yuan Renminbi
2025-04-02,Pantech,Feature phone,jcb,Rupiah
2026-01-04,HP,Android 4.4.2,jcb,Yuan Renminbi
2025-02-18,LG,Feature phone,jcb,Dollar
2025-02-10,Yezz,Feature phone,jcb,Forint
2025-01-27,LG,"Android 4.4.2, up to 5.0",diners-club-enroute,Sol
2025-11-25,Ulefone,Android 7.0,jcb,Real
2025-08-08,Asus,"Android 8.1, up to 9.0, ROG Gaming X UI",maestro,Euro
2025-03-28,HTC,"Android 4.4.2, Sense UI 6",mastercard,Euro
2025-06-20,Bird,Feature phone,americanexpress,Won
2025-11-26,Philips,Feature phone,jcb,Yuan Renminbi
2025-02-27,Motorola,Android 2.3,laser,Peso
2025-01-23,HTC,Android 7.x,jcb,Euro
2025-06-09,Samsung,"Android 4.4.2, up to 6.0, TouchWiz UI",jcb,Krona
2025-07-08,Honor,"Android 9.0, EMUI 9",jcb,Sol
2025-10-07,Panasonic,Feature phone,bankcard,Yuan Renminbi
2025-02-04,Xiaomi,"Android 10, MIUI 11",jcb,Hryvnia
2025-10-13,Xiaomi,"Android 10, MIUI 11",maestro,Euro
2025-04-09,Gigabyte,Android 1.6,china-unionpay,Yuan Renminbi
2025-12-13,Pantech,Feature phone,visa-electron,Rupiah
2025-06-30,ZTE,"Android 2.1, up to 2.2",jcb,Ruble
2025-09-14,Samsung,"Android 10, up to Android 11, One UI 3.1",jcb,Rupiah
2025-03-27,Gigabyte,Android 4.0,switch,Dirham
2025-12-15,Sagem,Feature phone,jcb,Ruble
2025-08-26,Amoi,Feature phone,instapayment,Rupiah
2025-10-31,Huawei,"Android 10, EMUI 10.1",jcb,Sol
2025-08-14,Samsung,"Android 8.1, up to Android 10",jcb,Euro
2025-05-04,ZTE,Android 4.0,jcb,Dirham
2025-09-02,Yezz,Android 5.1,jcb,Ruble
2025-07-16,Oppo,"Android 5.1, ColorOS 2.1",americanexpress,Yuan Renminbi
2025-01-23,LG,Android 4.4.2,jcb,Tugrik
2025-11-11,Amoi,Feature phone,mastercard,Yuan Renminbi
2025-06-29,Lava,Android 4.4.2,diners-club-us-ca,Dinar
2025-07-16,Sony,"Symbian Series 60, 5th edition",china-unionpay,Dollar
2025-01-31,Lenovo,Android 5.1,jcb,Peso
2025-03-24,NIU,Android 4.2,diners-club-us-ca,Yuan Renminbi
2025-05-15,Siemens,Feature phone,diners-club-enroute,Koruna
2025-08-01,Motorola,Android 2.2,diners-club-enroute,Euro
2025-02-17,Oppo,"Android 10, ColorOS 7",switch,Yen
2025-10-25,LG,Feature phone,jcb,Peso
2025-11-05,Samsung,Feature phone,solo,Zloty
2025-10-04,Motorola,Feature phone,visa-electron,Yuan Renminbi
2025-02-20,Motorola,Feature phone,visa-electron,Yuan Renminbi
2025-10-03,Sony,Feature phone,americanexpress,Yuan Renminbi
2025-09-18,Tel.Me.,Feature phone,solo,Ruble
2025-03-24,BLU,Android 5.0.2,americanexpress,Ruble
2026-01-09,LG,"Android 5.1.1, up to 7.0, LG UX 4 UI",jcb,Pound
2025-09-14,NEC,Feature phone,maestro,Yuan Renminbi
2025-07-06,LG,Feature phone,jcb,Krona
2025-02-18,Vodafone,Feature phone,jcb,Euro
2025-05-14,Yezz,Android 4.4,americanexpress,Shekel
2025-07-28,Spice,Feature phone,jcb,Rupiah
2025-12-01,LG,Feature phone,maestro,Euro
2025-06-05,ZTE,Android 2.2,instapayment,Peso
2025-03-28,vivo,"Android 9.0, Funtouch 9.2",switch,Yuan Renminbi
2025-04-24,VK,Feature phone,jcb,Leu
2025-10-12,vivo,"Android 10, Funtouch 10.0",instapayment,Peso
2025-09-01,BLU,"Android 9.0, planned upgrade to Android 10",jcb,Yuan Renminbi
2025-08-28,Asus,Android 4.4.2,jcb,Franc
2025-03-29,Samsung,Feature phone,jcb,Yuan Renminbi
2026-01-03,BLU,"Android 5.1, up to 6.0",mastercard,Lev
2025-08-19,Micromax,Feature phone,diners-club-enroute,Rupiah
2026-01-12,Samsung,Feature phone,jcb,Euro
2025-12-14,Yezz,Android 4.2,jcb,Ariary
2025-07-26,Icemobile,Android 2.2,mastercard,Rupiah
2025-02-15,Sony,"Android 5.0, up to 6.0",americanexpress,Yuan Renminbi
2025-08-25,Panasonic,Feature phone,switch,Krona
2025-08-24,Apple,"watchOS 5.0, up to 7.6",visa-electron,Zloty
2025-12-16,Motorola,Feature phone,jcb,Dinar
2025-03-17,alcatel,Android 5.1,visa,Zloty
2025-09-23,Coolpad,"Android 7.1.1, Journey UI",instapayment,Real
2025-04-22,Panasonic,Feature phone,jcb,Zloty
2025-08-28,Lava,Android 6.0,solo,Rial
2025-08-03,Samsung,Feature phone,laser,Peso
2026-01-09,Philips,Android 4.4.2,mastercard,Ruble
2025-04-03,Samsung,"Android 4.4.2, TouchWiz UI",mastercard,Yuan Renminbi
2025-04-25,Samsung,"Android 10, up to Android 11, One UI 3.1",solo,Litas
2025-11-28,HTC,Android 9,mastercard,Hryvnia
2025-12-31,LG,Android 6.0.1,mastercard,Ringgit
2025-04-09,Samsung,Microsoft Windows Mobile 6.0 Standard Edition,switch,Rupee
2025-10-24,Tecno,"Android 8.1, HIOS 4.1",americanexpress,Yuan Renminbi
2025-05-12,Vodafone,Feature phone,china-unionpay,Krona
2025-12-30,Sony,"Android 4.3, up to 5.1",maestro,Peso
2025-08-16,Samsung,Android 4.0.4,jcb,Dinar
2025-06-08,Huawei,Android 4.0.4,jcb,Yuan Renminbi
2025-03-17,Plum,Feature phone,jcb,Krone
2025-03-08,Nokia,"Android 8.1, up to Android 10, Android One",jcb,Yen
2026-01-14,Bird,Feature phone,jcb,Peso
2025-06-10,LG,"Android 2.3.6, up to 4.0.4",jcb,Yuan Renminbi
2025-12-20,HTC,Microsoft Windows Mobile 6.5 Professional,jcb,Peso
2025-01-23,Micromax,Feature phone,jcb,Koruna
2026-01-05,BLU,Android 6.0,jcb,Krona
2025-08-03,Sharp,Feature phone,jcb,Krona
2025-04-02,T-Mobile,Android 4.1,mastercard,Yuan Renminbi
2026-01-16,Sharp,Feature phone,jcb,Yuan Renminbi
2025-10-19,QMobile,Android 5.0,jcb,Krone
2025-08-07,Microsoft,Feature phone,jcb,Peso
2025-06-12,Panasonic,Android 6.0,jcb,Yuan Renminbi
2025-04-17,Xiaomi,"Android 7.1.1, MIUI 11",jcb,Yuan Renminbi
2025-01-30,Samsung,Feature phone,jcb,Shekel
2025-08-11,alcatel,Feature phone,jcb,Rupiah
2025-02-23,Samsung,Feature phone,jcb,Peso
2026-01-04,Nokia,Feature phone,diners-club-enroute,Yuan Renminbi
2025-08-29,Lenovo,Android 5.0,jcb,Krone
2025-08-15,Celkon,Feature phone,jcb,Dinar
2025-02-14,Archos,Android 5.1,jcb,Krone
2025-04-29,Philips,Feature phone,jcb,Ringgit
2025-06-05,LG,"Android 4.4.2, up to 5.0",americanexpress,Euro
2025-06-18,Realme,"Android 8.1, up to Android 10, Realme UI",jcb,Rupiah
2025-08-03,Sony,"Android 5.1.1, up to 7.1.1",jcb,Shilling
2025-05-27,Allview,Android 4.4.4,jcb,Krona
2025-07-22,Xiaomi,"Android 10, up to Android 11, MIUI 12",china-unionpay,Rupiah
2025-05-10,Samsung,Feature phone,jcb,Pound
2026-01-05,Motorola,"Symbian 7.0, UIQ v2.1 UI",jcb,Yen
2025-03-10,verykool,Android 7.0,jcb,Koruna
2025-07-15,Vodafone,Feature phone,jcb,Yuan Renminbi
2025-04-16,Samsung,"Android 4.3, up to 4.4.2",jcb,Rupiah
2025-10-13,Celkon,Feature phone,switch,Euro
2025-03-26,Infinix,Android 6.0,jcb,Ruble
2025-04-29,Lava,Android 8.0 Oreo - 1 GB RAM model&hellip;,bankcard,Real
2025-04-28,Philips,Feature phone,jcb,Krone
2026-01-10,Nokia,"Symbian 7.0s, Series 90 UI",mastercard,Dollar
2025-08-10,Motorola,Android 10,switch,Yuan Renminbi
2025-03-26,LG,Feature phone,jcb,Litas
2025-12-13,ZTE,Feature phone,jcb,Rand
2025-12-26,Lava,Android 10,china-unionpay,Dollar
2025-09-08,Plum,Android 6.0,jcb,Rupiah
2025-09-22,alcatel,Android 11,china-unionpay,Euro
2026-01-17,HTC,Android 8.0,diners-club-carte-blanche,Yuan Renminbi
2026-01-17,BLU,Android 6.0,americanexpress,Euro
2025-07-07,alcatel,Feature phone,visa-electron,Euro
2025-07-04,Micromax,Android 4.4.2,jcb,Naira
2025-02-05,Lava,Android 5.1,laser,Rupiah
2025-12-01,BlackBerry,BlackBerry OS 5.0,jcb,Euro
2025-08-06,Icemobile,Android OS,china-unionpay,Koruna
2025-02-08,BLU,Feature phone,laser,Lilangeni
2025-08-21,ZTE,Android 9.0,maestro,Yen
2025-02-24,alcatel,Feature phone,bankcard,Peso
2025-05-13,Samsung,Android 3.0,bankcard,Yuan Renminbi
2025-11-28,Samsung,Feature phone,jcb,Peso
2025-02-21,Huawei,"Android 7.0, EMUI 5.1",jcb,Euro
2025-07-26,Samsung,"Android 4.4.4, up to 6.0.1",china-unionpay,Yuan Renminbi
2025-03-03,Philips,Feature phone,jcb,Euro
2025-12-30,Asus,Microsoft Windows Phone 7,jcb,Sol
2025-11-22,LG,Android 5.1,jcb,Baht
2025-10-15,Samsung,"Android 4.2.2, TouchWiz UI",jcb,Peso
2025-03-16,Wiko,Android 7.0,jcb,Real
2025-11-12,HTC,"Android 4.4.2, up to 6, Sense UI 7",diners-club-enroute,Peso
2025-03-12,Haier,Feature phone,diners-club-enroute,Rand
2025-08-27,Maxon,Feature phone,mastercard,Euro
2025-02-24,LG,"Android 10, up to Android 11, LG UX 10",switch,Naira
2025-06-20,Wiko,Android 4.4.2,mastercard,Hryvnia
2025-11-27,LG,Android 4.4.2,maestro,Dong
2025-09-10,HTC,"Android 4.0, Sense UI",laser,Kyat
2025-06-23,Samsung,Android 2.2,visa,Ruble
2025-06-02,Asus,Microsoft Windows Mobile 5.0 PocketPC,diners-club-enroute,Dirham
2025-03-06,Prestigio,Android 4.1,maestro,Peso
2025-05-19,Nokia,"Symbian OS 9.1, S60 3rd edition",diners-club-enroute,Bolivar
2025-07-04,BenQ,Feature phone,maestro,Rupiah
2025-03-15,vivo,"Android 8.1, Funtouch 4",jcb,Rupiah
2025-02-21,Motorola,Feature phone,maestro,Dollar
2025-07-18,BLU,Android 2.3,china-unionpay,Rupiah
2025-04-17,XOLO,Android 4.2,laser,Peso
2025-08-27,Kyocera,Microsoft Windows Mobile 6.0 Standard,jcb,Rupiah
2025-11-01,vivo,"Android 5.1, Funtouch 2.5",jcb,Dollar
2025-01-27,LG,Feature phone,visa-electron,Zloty
2025-10-06,Samsung,"Android 4.4.2, TouchWiz UI",jcb,Yuan Renminbi
2026-01-17,XOLO,Android 4.4.2,visa,Lek
2025-05-09,Samsung,Android 2.2,solo,Yuan Renminbi
2025-04-06,Motorola,Feature phone,instapayment,Yuan Renminbi
2025-09-02,Samsung,Feature phone,china-unionpay,Rupiah
2025-03-19,Nokia,Feature phone,jcb,Rand
2025-08-01,LG,Feature phone,switch,Marka
2025-04-14,Nokia,"Nokia Asha software platform 1.1.1, up to 1.4",laser,Euro
2025-05-29,Motorola,Feature phone,mastercard,Taka
2025-03-03,Allview,Microsoft Windows Phone 8.1,jcb,Bolivar
2025-10-20,Celkon,Android 5.0,jcb,Euro
2025-08-03,Plum,Android 8.0 Oreo,visa-electron,Rupiah
2025-07-22,Samsung,"Android 9.0, up to Android 11, One UI 3.1",maestro,Euro
2025-07-13,Toshiba,Microsoft Windows Mobile 6.5 Professional,laser,Yuan Renminbi
2025-06-13,Huawei,Feature phone,jcb,Ruble
2025-09-26,Samsung,Feature phone,jcb,Koruna
2025-04-07,Oppo,"Android 11, ColorOS 11.1",jcb,Franc
2025-05-06,verykool,Android 5.1,laser,Rupiah
2025-03-19,Allview,Android 6.0,instapayment,Pound
2025-03-05,Gionee,Android 6.0,jcb,Yuan Renminbi
2025-10-18,Spice,Android 4.2,americanexpress,Yuan Renminbi
2026-01-15,HP,Android 4.2.2,jcb,Riels
2025-06-13,Asus,Feature phone,mastercard,Yuan Renminbi
2025-03-06,BLU,Android 5.1,diners-club-carte-blanche,Yen
2025-09-16,Allview,Android 4.1,jcb,Dollar
2026-01-20,QMobile,Android 4.4.2,mastercard,Euro
2025-09-02,Motorola,Feature phone,china-unionpay,Rupiah
2025-11-15,vivo,"Android 9.0, Funtouch 9",jcb,Ruble
2025-07-13,Huawei,Feature phone,instapayment,Euro
2025-03-05,Samsung,Feature phone,diners-club-carte-blanche,Rupiah
2025-12-08,BLU,Android 8.1 Oreo,jcb,Rupiah
2025-10-23,Samsung,Feature phone,jcb,Shekel
2025-03-17,Motorola,Feature phone,bankcard,Euro
2025-09-14,Samsung,Android 2.2,visa-electron,Birr
2025-11-08,ZTE,Android-based OPhone 2.0,diners-club-carte-blanche,Lev
2025-03-19,Motorola,"Android 8.0, up to Android 9.0",americanexpress,Guarani
2025-02-21,Celkon,Feature phone,mastercard,Real
2025-01-31,Prestigio,Microsoft Windows Phone 8.1,china-unionpay,Peso
2025-11-18,Nokia,Feature phone,maestro,Real
2025-03-01,Allview,Android 4.0.4,americanexpress,Yuan Renminbi
2025-06-08,YU,"Android 4.4.4, up to 5.1",switch,Yuan Renminbi
2026-01-02,Samsung,"Android 8.1, up to Android 10, One UI 2.5",jcb,Yuan Renminbi
2025-03-10,Lenovo,Android 4.0.3,switch,Rupiah
2025-12-10,Nokia,Feature phone,jcb,Rupiah
2025-07-17,BLU,Android 6.0,diners-club-enroute,Ruble
2025-03-09,Celkon,Android 4.0,switch,Yuan Renminbi
2025-12-10,Plum,Feature phone,diners-club-carte-blanche,Yuan Renminbi
2025-10-09,HTC,Android 10,jcb,Naira
2025-02-26,LG,Feature phone,laser,Yuan Renminbi
2025-05-12,Apple,"iOS 8, up to iOS 12.4.6",diners-club-carte-blanche,Franc
2025-10-13,vivo,"Android 7.1.1, Funtouch 3.2",jcb,Cedi
2025-04-12,alcatel,Android 2.3.5,mastercard,Yuan Renminbi
2025-03-01,Nokia,Microsoft Windows Phone 7.5 Mango,diners-club-international,Yuan Renminbi
2025-07-28,Plum,Feature phone,americanexpress,Peso
2025-04-13,Pantech,Feature phone,maestro,Ruble
2025-03-26,Apple,"iOS 13, up to iOS 14.7",diners-club-international,Rupiah
2025-07-17,vivo,"Android 9.0, Funtouch 9.1",jcb,Ruble
2025-06-20,alcatel,Feature phone,jcb,Yuan Renminbi
2025-02-27,alcatel,Android 2.3,bankcard,Hryvnia
2025-10-21,LG,"Android 4.4, up to 6.0",jcb,Real
2025-08-28,Wiko,Android 7.1,visa-electron,Real
2025-02-22,Nokia,Feature phone,diners-club-us-ca,Dram
2025-10-25,BLU,Android 6.0,mastercard,Real
2025-03-17,Nokia,Android 9.0,jcb,Yuan Renminbi
2025-02-05,Allview,Android 5.0,visa,Dollar
2025-06-04,Huawei,"Android 9.0, EMUI 9.1",mastercard,Euro
2025-01-29,Prestigio,Android 4.2,jcb,Peso
2025-10-21,XOLO,Android 4.4.2,switch,Yuan Renminbi
2026-01-19,Celkon,Feature phone,jcb,Peso
2025-08-11,ZTE,Android 4.4.2,instapayment,Franc
2025-02-12,Motorola,Android 2.3,visa,Rupiah
2025-02-23,Asus,Feature phone,jcb,Kuna
2025-07-06,VK,Feature phone,diners-club-enroute,Rupiah
2025-08-03,Ericsson,Feature phone,mastercard,Koruna
2025-04-20,Samsung,Microsoft Windows Mobile 6.1 Standard,americanexpress,Yuan Renminbi
2025-03-25,Celkon,Android 4.2.2,jcb,Yuan Renminbi
2025-07-30,BenQ,Feature phone,jcb,Euro
2025-04-13,LG,Android 9.0,jcb,Franc
2025-04-24,Lava,Android 10,jcb,Krona
2025-03-14,Nokia,"Symbian OS 9.1, S60 3rd edition",jcb,Rial
2026-01-04,Allview,Android 4.2,switch,Krona
2025-11-21,Motorola,Feature phone,jcb,Rupiah
2025-08-25,Realme,Proprietary OS,visa,Franc
2025-04-13,Samsung,Feature phone,diners-club-enroute,Krona
2025-09-09,Huawei,"Android 10, EMUI 10",mastercard,Yuan Renminbi
2025-07-26,Sony,Feature phone,diners-club-enroute,Yuan Renminbi
2025-05-10,LG,Android 4.4.2,visa,Hryvnia
2026-01-15,Samsung,Android 2.2,maestro,Peso
2025-12-26,Asus,Android 4.0.1,visa-electron,Yuan Renminbi
2025-04-16,Samsung,Feature phone,diners-club-enroute,Euro
2025-03-25,LG,Feature phone,instapayment,Dollar
2025-10-26,Micromax,"Android 4.4.4, up to 5.1, Android One",china-unionpay,Hryvnia
2025-08-21,Gigabyte,Android 2.3,jcb,Ruble
2025-12-21,Samsung,"Android 5.1.1, up to 7.0, TouchWiz UI",jcb,Koruna
2025-07-24,Siemens,Feature phone,americanexpress,Rupiah
2025-05-10,ZTE,Android 4.0,jcb,Yuan Renminbi
2026-01-05,Micromax,Feature phone,visa-electron,Yuan Renminbi
2025-10-14,BlackBerry,BlackBerry OS 6.1,jcb,Dollar
2025-07-27,Dell,Android 3.2,jcb,Real
2025-03-04,Energizer,Android 9.0,jcb,Euro
2025-06-29,LG,Feature phone,bankcard,Ruble
2026-01-09,Micromax,"Android 4.4.4, up to 5.1, Android One",jcb,Rupiah
2025-07-15,Amoi,Microsoft Windows Mobile 5.0 Phone Edition,bankcard,Quetzal
2025-10-12,Prestigio,Android 4.1,maestro,Rupiah
2025-03-16,BLU,"Android 4.2.2, up to 4.4.2",solo,Lari
2025-06-20,Nokia,Feature phone,jcb,Peso
2026-01-15,HTC,Android 10,jcb,Rupiah
2025-07-25,Spice,Android 4.2,switch,Real
2025-04-28,Nokia,Feature phone,jcb,Naira
2025-04-06,Infinix,Android 6.0,jcb,Yuan Renminbi
2025-11-01,Palm,Palm 5.2.1H,mastercard,Yuan Renminbi
2025-10-17,Samsung,"Android 4.0.3, up to 4.2.2, TouchWiz UX UI",bankcard,Yuan Renminbi
2025-10-01,Philips,Feature phone,jcb,Yuan Renminbi
2025-04-12,LG,Feature phone,jcb,Peso
2025-05-25,LG,Feature phone,jcb,Yen
2026-01-17,verykool,Android 6.0,jcb,Euro
2025-07-13,VK,Feature phone,jcb,Yuan Renminbi
2025-07-26,i-mate,Microsoft Windows Mobile 6.0 Professional,jcb,Yuan Renminbi
2025-03-24,Plum,Android 5.1,jcb,Euro
2025-08-25,Sendo,Feature phone,jcb,Real
2025-12-23,alcatel,Feature phone,jcb,Euro
2026-01-15,Plum,Feature phone,china-unionpay,Ruble
2025-05-21,Huawei,"Android 4.1, up to 4.2.2, EMUI 1.5",diners-club-international,Rupiah
2025-12-16,i-mobile,Feature phone,visa,Dong
2025-09-22,Pantech,Feature phone,bankcard,Yuan Renminbi
2025-12-09,Samsung,Microsoft Windows Mobile 6.1 Professional,laser,Euro
2025-11-17,Nokia,Feature phone,jcb,Shekel
2025-03-26,Amoi,Feature phone,jcb,Peso
2025-06-05,VK,Feature phone,jcb,Rupiah
2025-10-09,Realme,Android 10,jcb,Rupiah
2025-05-07,BLU,Android 4.2,diners-club-carte-blanche,Euro
2025-12-02,alcatel,Feature phone,jcb,Yuan Renminbi
2025-05-07,vivo,"Android 9.0, Funtouch 9.1",visa-electron,Rupiah
2025-10-27,ZTE,"Android 2.3.6, up to 4.0",jcb,Dram
2025-02-04,Yezz,Android 5.1,mastercard,Afghani
2025-08-01,Samsung,Android 2.2,jcb,Dollar
2025-05-14,Huawei,Android 4.4,mastercard,Rupiah
2025-08-15,BLU,Android 5.1,mastercard,Rupiah
2025-08-07,Huawei,"Android 8.1, up to Android 10, EMUI 10.0",diners-club-carte-blanche,Real
2025-04-12,Tel.Me.,Feature phone,jcb,Yuan Renminbi
2025-10-05,Samsung,Microsoft Windows Mobile 6.5 Professional,mastercard,Real
2025-10-27,LG,"Android 6.0, up to Android 8.0",mastercard,Yuan Renminbi
2025-05-22,Panasonic,Feature phone,mastercard,Dollar
2025-09-18,HTC,Android 8.1,jcb,Rupiah
2025-09-22,LG,Android 2.3.7,jcb,Euro
2025-02-09,Samsung,"Android 2.3, up to 4.0, TouchWiz UI 4",jcb,Peso
2025-10-17,Lava,Android 4.2,jcb,Euro
2025-10-09,LG,Feature phone,jcb,Peso
2025-02-07,Vodafone,Android 6.0.1,china-unionpay,Krona
2025-03-02,VK,Feature phone,jcb,Yuan Renminbi
2025-03-01,BLU,Android 9.0,visa-electron,Baht
2025-11-19,Samsung,Feature phone,americanexpress,Dollar
2025-10-22,Motorola,Feature phone,laser,Rupiah
2025-05-14,Motorola,Android 6.0.1,jcb,Dollar
2025-11-30,Pantech,Feature phone,diners-club-carte-blanche,Franc
2025-07-01,vivo,"Android 8.1, Funtouch 4",instapayment,Rupiah
2025-11-25,Lava,Android 5.1,jcb,Euro
2025-03-29,Spice,Feature phone,jcb,Baht
2025-02-21,Maxwest,Feature phone,diners-club-enroute,Rupiah
2026-01-01,Wiko,Android 10,jcb,Denar
2025-04-12,Icemobile,Android 4.2.2,jcb,Franc
2025-09-13,alcatel,Android 5.0,visa-electron,Real
2025-06-04,LG,Android 6.0,jcb,Shilling
2025-06-21,Spice,Android 2.3,china-unionpay,Yuan Renminbi
2025-03-26,vivo,"Android 10, Funtouch 10.5",diners-club-us-ca,Koruna
2025-07-10,Nokia,Microsoft Windows Phone 7.8,china-unionpay,Ruble
2025-11-22,Samsung,"Symbian OS 9.1, Series 60 v3.1 UI",mastercard,Yuan Renminbi
2025-09-07,alcatel,Feature phone,visa,Euro
2025-09-14,vivo,"Android 7.1.1, up to 8.0, Funtouch 3.2",mastercard,Ruble
2025-09-30,Lava,Android 4.2,switch,Yen
2025-08-20,Infinix,"Android 10, XOS 6.0",jcb,Ruble
2025-08-22,Motorola,Feature phone,bankcard,Hryvnia
2025-10-21,Panasonic,Android 7.0,mastercard,Rupiah
2025-03-13,ZTE,"Android 10, nubia UI 8.0",jcb,Manat
2025-01-24,Motorola,Android 10,visa-electron,Yuan Renminbi
2025-08-03,Samsung,Feature phone,jcb,Dinar
2025-06-14,alcatel,Feature phone,jcb,Hryvnia
2025-04-05,BLU,Android 7.0,mastercard,Kuna
2025-10-31,Motorola,Linux / Java-based MOTOMAGX,diners-club-enroute,Yen
2025-03-18,Intex,Android OS compatible,maestro,Hryvnia
2025-11-06,Samsung,Feature phone,instapayment,Ruble
2025-11-30,Micromax,Feature phone,switch,Naira
2025-04-15,Huawei,"Android 4.3, EMUI 1.6",bankcard,Yen
2026-01-02,LG,Feature phone,jcb,Rupee
2025-12-05,Sagem,Feature phone,mastercard,Yuan Renminbi
2025-08-05,LG,Feature phone,maestro,Krona
2025-04-30,NEC,Feature phone,diners-club-carte-blanche,Zloty
2025-08-28,Posh,Android 6.0,jcb,Franc
2025-07-27,Bird,Feature phone,jcb,Dinar
2025-05-03,alcatel,Android 4.1,jcb,Euro
2025-10-16,Honor,"Android 9.0, Magic 2",diners-club-us-ca,Rupiah
2025-08-22,Samsung,Android 4.0.4,jcb,Yuan Renminbi
2026-01-13,Samsung,Android 2.2,switch,Yuan Renminbi
2025-11-29,Haier,Feature phone,diners-club-enroute,Ruble
2025-02-06,alcatel,Feature phone,jcb,Yuan Renminbi
2025-02-14,Samsung,Feature phone,switch,Yuan Renminbi
2025-02-14,LG,Feature phone,switch,Baht
2025-11-11,Nokia,"Symbian, S60 rel. 3.2",maestro,Rupiah
2025-10-08,ZTE,Android-based OPhone 2.0,mastercard,Ringgit
2025-01-25,Nokia,Feature phone,switch,Rupee
2025-07-08,Samsung,Feature phone,visa,Yuan Renminbi
2025-09-09,Samsung,Feature phone,mastercard,Euro
2025-06-27,Xiaomi,Android 9.0,jcb,Koruna
2026-01-20,Motorola,Feature phone,jcb,Euro
2025-11-17,Xiaomi,"Android 6.0.1, MIUI 10",jcb,Dollar
2025-03-28,Micromax,Android 4.0.4,jcb,Tenge
2025-08-20,Philips,Feature phone,jcb,Peso
2025-03-01,Nokia,"Symbian 9.2, S60 rel. 3.1",jcb,Yen
2025-08-07,verykool,Android 4.4.2,china-unionpay,Shekel
2025-11-26,Micromax,Android 2.3.6,jcb,Rupiah
2025-12-31,LG,Feature phone,americanexpress,Yen
2025-07-24,Sony,"Android 5.1.1, up to 7.1.1",jcb,Ruble
2025-05-14,Sagem,Feature phone,china-unionpay,Yuan Renminbi
2025-12-09,Samsung,Feature phone,china-unionpay,Euro
2025-09-23,Sony,Feature phone,jcb,Euro
2025-09-25,Asus,Android 4.4,jcb,Peso
2025-12-16,Apple,"watchOS 6.0, up to 7.6",visa-electron,Ringgit
2025-09-18,NEC,Feature phone,jcb,Rupiah
2025-09-15,NEC,Feature phone,jcb,Euro
2025-02-20,Samsung,Android 1.5/ 2.1,jcb,Yuan Renminbi
2026-01-15,BLU,Android 4.4.2,mastercard,Real
2025-08-19,i-mobile,Feature phone,americanexpress,Dollar
2025-02-19,Lava,Android 7.0,diners-club-enroute,Yuan Renminbi
2025-07-09,Plum,Android 4.2,americanexpress,Rupee
2025-07-05,Nokia,Feature phone,maestro,Real
2025-05-31,Karbonn,Feature phone,jcb,Ruble
2025-04-15,Sagem,Microsoft Windows PocketPC,jcb,Yuan Renminbi
2026-01-17,Samsung,"Android 10, up to Android 11, One UI 3.0",maestro,Dinar
2025-07-23,Micromax,"Android 4.4.2, up to 5.0",jcb,Yuan Renminbi
2025-08-16,Maxwest,Android 4.4,china-unionpay,Yuan Renminbi
2025-01-25,Spice,Android 4.4,visa-electron,Dollar
2025-07-24,Asus,"Android 5.0, up to 6.0, ZenUI",laser,Peso
2025-02-22,Samsung,Android 2.2,switch,Yuan Renminbi
2025-06-29,Micromax,Android 4.4.2,jcb,Yuan Renminbi
2025-03-23,Plum,Android 7.0,mastercard,Dollar
2025-02-11,Nokia,Feature phone,jcb,Dollar
2025-12-09,ZTE,Android 9.0,china-unionpay,Yuan Renminbi
2025-11-12,Samsung,Feature phone,mastercard,Ruble
2025-02-12,Microsoft,Feature phone,diners-club-carte-blanche,Shilling
2025-10-09,Samsung,"Android 6.0.1, TouchWiz UI",mastercard,Yuan Renminbi
2025-04-03,Yezz,Feature phone,maestro,Peso
2025-03-27,verykool,"Android 4.4.2, up to 5.0",jcb,Rupiah
2025-02-09,BenQ,Feature phone,visa-electron,Shekel
2025-11-06,Samsung,Feature phone,maestro,Yuan Renminbi
2025-03-15,ZTE,"Android 10, nubia UI 8.0",jcb,Dollar
2025-04-29,Huawei,"Android 10, EMUI 10.1",diners-club-us-ca,Euro
2026-01-17,Fujitsu,Microsoft Windows Mobile 5.0 Phone Edition,jcb,Euro
2025-04-13,Gionee,Android 4.2,mastercard,Quetzal
2025-07-11,Samsung,Feature phone,jcb,Yuan Renminbi
2025-02-04,Allview,"Android 4.2, up to 4.4.2",diners-club-enroute,Yuan Renminbi
2025-02-08,Huawei,"Android 9.0, up to Android 10, EMUI 10.0",maestro,Rupiah
2025-09-16,Xiaomi,"Android 4.2, up to 4.4.4, MIUI 9.2",jcb,Ruble
2025-04-08,Motorola,"Android 3.0, 4.1.2, not up to 4.2",jcb,Tugrik
2025-03-02,Intex,Android 5.0,jcb,Hryvnia
2025-08-19,Lenovo,Android 4.1,americanexpress,Euro
2025-11-07,Vodafone,Feature phone,maestro,Rupiah
2025-09-06,Sagem,Feature phone,switch,Yuan Renminbi
2025-09-23,Micromax,Android 5.1,jcb,Yuan Renminbi
2025-12-20,Samsung,Feature phone,visa-electron,Real
2025-12-03,Micromax,"Android 7.1.2, up to Android 8.0",maestro,Rupiah
