date,brand,os,credit_card_type,currency,review_number,price,paid
2025-11-22,Lenovo,"Android 5.0.2, up to 6.0",visa-electron,Peso,82,626,0.0
2025-12-15,Samsung,"Android 3.0, up to 4.0, TouchWiz UX UI",china-unionpay,Peso,220,383,1.0
2025-05-07,Huawei,Android 4.1,jcb,Yuan Renminbi,17,429,1.0
2025-11-06,ZTE,Android 4.0,switch,Baht,117,501,1.0
2025-12-26,Lenovo,Android 4.2.2,laser,Rupiah,125,805,0.0
2026-01-07,Ulefone,Android 10,jcb,Euro,31,860,0.0
2025-01-29,BenQ,Feature phone,bankcard,Balboa,80,624,1.0
2025-10-06,BenQ,Feature phone,jcb,Dollar,210,411,1.0
2025-06-11,alcatel,Android 7.1,jcb,Rupiah,139,328,0.0
2025-07-20,Oppo,"Android 7.1.1, ColorOS 3.2",china-unionpay,Ruble,162,312,0.0
2025-02-23,alcatel,Feature phone,jcb,Rupiah,16,264,0.0
2025-12-17,HTC,"Android 4.4.2, Sense UI 6",diners-club-us-ca,Peso,8,335,0.0
2025-09-30,Samsung,Feature phone,jcb,Ruble,23,651,1.0
2025-09-05,Gionee,"Android 5.1, Amigo 3.1",mastercard,Real,130,750,0.0
2025-02-07,Posh,Android 4.2.2,diners-club-enroute,Dollar,234,661,1.0
2026-01-14,XOLO,"Android 4.3, up to 4.4.2",mastercard,Euro,48,552,1.0
2025-03-02,Motorola,Feature phone,mastercard,Yen,181,446,0.0
2025-03-02,i-mate,Microsoft Windows Mobile 2003 SE PocketPC,visa-electron,Euro,209,769,0.0
2025-03-01,Motorola,"Android 2.1, up to 2.2",jcb,Dollar,186,286,0.0
2025-10-07,Amoi,Feature phone,mastercard,Baht,54,687,1.0
2025-02-09,BLU,Android 9.0,maestro,Som,127,357,0.0
2025-03-16,QMobile,"Android 6.0, Amigo 3.1",jcb,Peso,106,495,0.0
2025-04-11,Nokia,Microsoft Windows Phone 7,jcb,Real,129,204,1.0
2025-02-08,Oppo,Android 4.2.1,visa-electron,Won,70,626,0.0
2025-08-04,Nokia,Feature phone,jcb,Won,86,426,0.0
2025-11-17,vivo,"Android 9.0, Funtouch 9.2",maestro,Yuan Renminbi,36,440,1.0
2025-03-24,Yezz,Android 4.4.2,jcb,Yuan Renminbi,154,268,1.0
2025-03-25,Realme,"Android 10, Realme UI",mastercard,Koruna,231,754,1.0
2025-03-15,LG,Feature phone,maestro,Peso,121,529,1.0
2025-09-12,alcatel,Feature phone,jcb,Won,151,464,0.0
2026-01-12,Samsung,"Android 4.3, up to 4.4.2",jcb,Rupiah,27,398,0.0
2025-02-20,Lenovo,Android 4.4.2,maestro,Dollar,70,521,0.0
2025-07-12,NEC,Feature phone,jcb,Ruble,119,512,0.0
2025-06-24,Samsung,"Android 4.4, TouchWiz UI",switch,Won,134,228,1.0
2025-03-29,Samsung,"Android 5.1, up to 7.1.1",jcb,Dollar,65,759,0.0
2025-03-22,Haier,Feature phone,diners-club-enroute,Dollar,225,377,1.0
2025-12-25,BLU,Android 9.0,mastercard,Denar,134,769,1.0
2025-06-25,Innostream,Feature phone,americanexpress,Krona,122,818,0.0
2025-06-28,Asus,"Android 4.3, up to 4.4.2",maestro,Ruble,125,260,0.0
2025-05-26,LeEco,"Android 6.0, eUI 5.6",diners-club-enroute,Ringgit,126,616,0.0
2025-12-01,Lava,Android 4.2,americanexpress,Rupiah,62,853,1.0
2025-12-07,LG,Feature phone,instapayment,Rial,101,765,1.0
2025-12-08,HTC,Microsoft Windows Mobile 5.0 Smartphone,mastercard,Quetzal,24,369,1.0
2025-12-30,BQ,"Android 7.1.2, up to Android 8.0",maestro,Yuan Renminbi,56,619,0.0
2025-10-01,Samsung,Feature phone,visa,Euro,111,272,0.0
2025-07-13,Xiaomi,"Android 10, MIUI 11",bankcard,Euro,53,693,0.0
2025-08-02,ZTE,Android 6.0,visa-electron,Zloty,72,318,1.0
2025-10-21,alcatel,Feature phone,jcb,Yuan Renminbi,36,513,0.0
2025-06-04,BLU,Android 5.1,americanexpress,Peso,19,367,1.0
2025-03-29,Plum,Android 4.1.2,china-unionpay,Peso,21,844,0.0
2025-03-18,Samsung,Feature phone,jcb,Rupiah,12,761,0.0
2025-06-23,Samsung,Tizen OS 4.0,mastercard,Rupiah,78,222,0.0
2025-04-14,LG,Proprietary OS,americanexpress,Yuan Renminbi,20,322,1.0
2025-02-28,BenQ-Siemens,Feature phone,jcb,Rupiah,24,251,0.0
2025-04-03,Gigabyte,Microsoft Windows Mobile 5.0 for &hellip;,diners-club-enroute,Yuan Renminbi,45,430,1.0
2025-05-25,Sony,"Android 9.0, up to Android 10",jcb,Ruble,35,640,0.0
2025-04-15,Palm,Microsoft Windows Mobile 6.0 Standard Edition,diners-club-enroute,Shilling,199,860,0.0
2025-10-26,alcatel,Feature phone,jcb,Euro,150,433,0.0
2025-03-23,Motorola,Feature phone,maestro,Rupee,217,843,0.0
2025-08-04,ZTE,"Android 5.2, nubia UI 3",americanexpress,Real,36,472,0.0
2025-08-31,Acer,Android 5.0,jcb,Riels,72,322,1.0
2025-05-23,LG,Feature phone,mastercard,Rupiah,37,607,1.0
2025-11-05,BenQ-Siemens,Feature phone,jcb,Dollar,33,819,0.0
2025-10-11,BenQ,Feature phone,maestro,Koruna,185,626,0.0
2025-03-24,Samsung,Proprietary OS,jcb,Yuan Renminbi,74,626,1.0
2025-02-05,LG,Feature phone,mastercard,Euro,102,828,1.0
2025-02-23,Toshiba,Microsoft Windows Phone 7.5 Mango,diners-club-us-ca,Yuan Renminbi,209,675,0.0
2025-05-02,LG,Feature phone,americanexpress,Real,184,231,0.0
2025-08-08,Sony,Feature phone,jcb,Dinar,222,420,0.0
2025-03-03,Bird,Feature phone,jcb,Peso,139,521,0.0
2025-02-21,Samsung,Feature phone,jcb,Yen,30,886,1.0
2025-02-16,Sony,"Symbian 7.0, UIQ v2.0 UI",switch,Peso,244,403,1.0
2025-08-07,Micromax,"Android 5.1, Android One",diners-club-us-ca,Yuan Renminbi,10,242,0.0
2025-09-14,Nokia,Feature phone,diners-club-us-ca,Dollar,89,608,0.0
2025-03-08,Nokia,Feature phone,jcb,Pound,31,792,0.0
2025-02-13,vivo,"Android 9.0, Funtouch 9.0",maestro,Euro,166,777,0.0
2025-09-12,Realme,"Android 10, Realme UI",jcb,Baht,7,731,0.0
2025-07-12,LG,Feature phone,jcb,Euro,193,421,0.0
2025-05-27,LG,Feature phone,maestro,Dollar,172,416,1.0
2026-01-02,T-Mobile,Android 1.6,china-unionpay,Real,40,217,0.0
2025-12-02,alcatel,Android 4.2,jcb,Pound,79,459,0.0
2025-04-11,Philips,Feature phone,visa-electron,Peso,35,465,1.0
2025-07-30,Gigabyte,Android 4.4,jcb,Rupiah,238,536,0.0
2025-09-27,Prestigio,Android 4.1,jcb,Euro,183,733,0.0
2025-05-17,Lava,Android 10,jcb,Dollar,156,553,1.0
2025-06-28,Samsung,"Android 2.3, up to 4.1, TouchWiz UI",diners-club-carte-blanche,Baht,211,383,0.0
2025-03-27,Gionee,Android 4.2,diners-club-carte-blanche,Yuan Renminbi,238,635,1.0
2025-04-02,Pantech,Feature phone,jcb,Rupiah,111,322,1.0
2026-01-04,HP,Android 4.4.2,jcb,Yuan Renminbi,161,273,0.0
2025-02-18,LG,Feature phone,jcb,Dollar,171,710,0.0
2025-02-10,Yezz,Feature phone,jcb,Forint,18,456,0.0
2025-01-27,LG,"Android 4.4.2, up to 5.0",diners-club-enroute,Sol,147,368,1.0
2025-11-25,Ulefone,Android 7.0,jcb,Real,46,618,1.0
2025-08-08,Asus,"Android 8.1, up to 9.0, ROG Gaming X UI",maestro,Euro,60,542,1.0
2025-03-28,HTC,"Android 4.4.2, Sense UI 6",mastercard,Euro,64,567,1.0
2025-06-20,Bird,Feature phone,americanexpress,Won,28,547,1.0
2025-11-26,Philips,Feature phone,jcb,Yuan Renminbi,199,759,0.0
2025-02-27,Motorola,Android 2.3,laser,Peso,72,507,1.0
2025-01-23,HTC,Android 7.x,jcb,Euro,6,510,0.0
2025-06-09,Samsung,"Android 4.4.2, up to 6.0, TouchWiz UI",jcb,Krona,147,774,0.0
2025-07-08,Honor,"Android 9.0, EMUI 9",jcb,Sol,151,613,0.0
2025-10-07,Panasonic,Feature phone,bankcard,Yuan Renminbi,93,342,0.0
2025-02-04,Xiaomi,"Android 10, MIUI 11",jcb,Hryvnia,96,400,0.0
2025-10-13,Xiaomi,"Android 10, MIUI 11",maestro,Euro,25,204,0.0
2025-04-09,Gigabyte,Android 1.6,china-unionpay,Yuan Renminbi,153,375,0.0
2025-12-13,Pantech,Feature phone,visa-electron,Rupiah,112,781,0.0
2025-06-30,ZTE,"Android 2.1, up to 2.2",jcb,Ruble,236,343,0.0
2025-09-14,Samsung,"Android 10, up to Android 11, One UI 3.1",jcb,Rupiah,184,815,0.0
2025-03-27,Gigabyte,Android 4.0,switch,Dirham,128,691,0.0
2025-12-15,Sagem,Feature phone,jcb,Ruble,185,839,0.0
2025-08-26,Amoi,Feature phone,instapayment,Rupiah,4,312,0.0
2025-10-31,Huawei,"Android 10, EMUI 10.1",jcb,Sol,236,289,1.0
2025-08-14,Samsung,"Android 8.1, up to Android 10",jcb,Euro,94,742,1.0
2025-05-04,ZTE,Android 4.0,jcb,Dirham,133,301,0.0
2025-09-02,Yezz,Android 5.1,jcb,Ruble,102,827,0.0
2025-07-16,Oppo,"Android 5.1, ColorOS 2.1",americanexpress,Yuan Renminbi,165,695,1.0
2025-01-23,LG,Android 4.4.2,jcb,Tugrik,70,807,0.0
2025-11-11,Amoi,Feature phone,mastercard,Yuan Renminbi,195,300,0.0
2025-06-29,Lava,Android 4.4.2,diners-club-us-ca,Dinar,88,253,0.0
2025-07-16,Sony,"Symbian Series 60, 5th edition",china-unionpay,Dollar,1,247,0.0
2025-01-31,Lenovo,Android 5.1,jcb,Peso,188,461,0.0
2025-03-24,NIU,Android 4.2,diners-club-us-ca,Yuan Renminbi,92,556,0.0
2025-05-15,Siemens,Feature phone,diners-club-enroute,Koruna,177,814,0.0
2025-08-01,Motorola,Android 2.2,diners-club-enroute,Euro,102,269,0.0
2025-02-17,Oppo,"Android 10, ColorOS 7",switch,Yen,102,718,1.0
2025-10-25,LG,Feature phone,jcb,Peso,208,732,0.0
2025-11-05,Samsung,Feature phone,solo,Zloty,70,734,1.0
2025-10-04,Motorola,Feature phone,visa-electron,Yuan Renminbi,69,695,0.0
2025-02-20,Motorola,Feature phone,visa-electron,Yuan Renminbi,9,651,1.0
2025-10-03,Sony,Feature phone,americanexpress,Yuan Renminbi,17,776,0.0
2025-09-18,Tel.Me.,Feature phone,solo,Ruble,212,451,0.0
2025-03-24,BLU,Android 5.0.2,americanexpress,Ruble,207,380,0.0
2026-01-09,LG,"Android 5.1.1, up to 7.0, LG UX 4 UI",jcb,Pound,100,474,0.0
2025-09-14,NEC,Feature phone,maestro,Yuan Renminbi,4,271,0.0
2025-07-06,LG,Feature phone,jcb,Krona,133,617,0.0
2025-02-18,Vodafone,Feature phone,jcb,Euro,29,251,0.0
2025-05-14,Yezz,Android 4.4,americanexpress,Shekel,54,367,1.0
2025-07-28,Spice,Feature phone,jcb,Rupiah,14,331,0.0
2025-12-01,LG,Feature phone,maestro,Euro,17,327,0.0
2025-06-05,ZTE,Android 2.2,instapayment,Peso,127,481,1.0
2025-03-28,vivo,"Android 9.0, Funtouch 9.2",switch,Yuan Renminbi,74,262,0.0
2025-04-24,VK,Feature phone,jcb,Leu,223,767,0.0
2025-10-12,vivo,"Android 10, Funtouch 10.0",instapayment,Peso,180,640,1.0
2025-09-01,BLU,"Android 9.0, planned upgrade to Android 10",jcb,Yuan Renminbi,84,245,0.0
2025-08-28,Asus,Android 4.4.2,jcb,Franc,67,705,1.0
2025-03-29,Samsung,Feature phone,jcb,Yuan Renminbi,233,219,1.0
2026-01-03,BLU,"Android 5.1, up to 6.0",mastercard,Lev,234,291,1.0
2025-08-19,Micromax,Feature phone,diners-club-enroute,Rupiah,182,671,0.0
2026-01-12,Samsung,Feature phone,jcb,Euro,2,469,1.0
2025-12-14,Yezz,Android 4.2,jcb,Ariary,98,802,0.0
2025-07-26,Icemobile,Android 2.2,mastercard,Rupiah,242,319,0.0
2025-02-15,Sony,"Android 5.0, up to 6.0",americanexpress,Yuan Renminbi,185,212,0.0
2025-08-25,Panasonic,Feature phone,switch,Krona,239,481,1.0
2025-08-24,Apple,"watchOS 5.0, up to 7.6",visa-electron,Zloty,171,601,0.0
2025-12-16,Motorola,Feature phone,jcb,Dinar,91,799,0.0
2025-03-17,alcatel,Android 5.1,visa,Zloty,133,798,0.0
2025-09-23,Coolpad,"Android 7.1.1, Journey UI",instapayment,Real,111,766,0.0
2025-04-22,Panasonic,Feature phone,jcb,Zloty,165,324,1.0
2025-08-28,Lava,Android 6.0,solo,Rial,213,293,1.0
2025-08-03,Samsung,Feature phone,laser,Peso,83,806,0.0
2026-01-09,Philips,Android 4.4.2,mastercard,Ruble,40,569,0.0
2025-04-03,Samsung,"Android 4.4.2, TouchWiz UI",mastercard,Yuan Renminbi,128,687,0.0
2025-04-25,Samsung,"Android 10, up to Android 11, One UI 3.1",solo,Litas,133,553,1.0
2025-11-28,HTC,Android 9,mastercard,Hryvnia,161,865,1.0
2025-12-31,LG,Android 6.0.1,mastercard,Ringgit,128,845,1.0
2025-04-09,Samsung,Microsoft Windows Mobile 6.0 Standard Edition,switch,Rupee,29,469,0.0
2025-10-24,Tecno,"Android 8.1, HIOS 4.1",americanexpress,Yuan Renminbi,128,473,0.0
2025-05-12,Vodafone,Feature phone,china-unionpay,Krona,92,274,0.0
2025-12-30,Sony,"Android 4.3, up to 5.1",maestro,Peso,47,764,1.0
2025-08-16,Samsung,Android 4.0.4,jcb,Dinar,162,780,0.0
2025-06-08,Huawei,Android 4.0.4,jcb,Yuan Renminbi,53,359,1.0
2025-03-17,Plum,Feature phone,jcb,Krone,160,472,0.0
2025-03-08,Nokia,"Android 8.1, up to Android 10, Android One",jcb,Yen,121,741,0.0
2026-01-14,Bird,Feature phone,jcb,Peso,30,846,1.0
2025-06-10,LG,"Android 2.3.6, up to 4.0.4",jcb,Yuan Renminbi,142,748,0.0
2025-12-20,HTC,Microsoft Windows Mobile 6.5 Professional,jcb,Peso,47,379,1.0
2025-01-23,Micromax,Feature phone,jcb,Koruna,91,358,0.0
2026-01-05,BLU,Android 6.0,jcb,Krona,237,894,0.0
2025-08-03,Sharp,Feature phone,jcb,Krona,5,500,0.0
2025-04-02,T-Mobile,Android 4.1,mastercard,Yuan Renminbi,147,517,0.0
2026-01-16,Sharp,Feature phone,jcb,Yuan Renminbi,115,802,0.0
2025-10-19,QMobile,Android 5.0,jcb,Krone,217,757,1.0
2025-08-07,Microsoft,Feature phone,jcb,Peso,62,574,1.0
2025-06-12,Panasonic,Android 6.0,jcb,Yuan Renminbi,23,854,0.0
2025-04-17,Xiaomi,"Android 7.1.1, MIUI 11",jcb,Yuan Renminbi,210,630,1.0
2025-01-30,Samsung,Feature phone,jcb,Shekel,131,676,1.0
2025-08-11,alcatel,Feature phone,jcb,Rupiah,202,252,1.0
2025-02-23,Samsung,Feature phone,jcb,Peso,200,719,1.0
2026-01-04,Nokia,Feature phone,diners-club-enroute,Yuan Renminbi,77,229,1.0
2025-08-29,Lenovo,Android 5.0,jcb,Krone,40,703,0.0
2025-08-15,Celkon,Feature phone,jcb,Dinar,232,332,0.0
2025-02-14,Archos,Android 5.1,jcb,Krone,99,345,0.0
2025-04-29,Philips,Feature phone,jcb,Ringgit,109,577,0.0
2025-06-05,LG,"Android 4.4.2, up to 5.0",americanexpress,Euro,114,397,1.0
2025-06-18,Realme,"Android 8.1, up to Android 10, Realme UI",jcb,Rupiah,153,565,1.0
2025-08-03,Sony,"Android 5.1.1, up to 7.1.1",jcb,Shilling,223,587,0.0
2025-05-27,Allview,Android 4.4.4,jcb,Krona,205,632,0.0
2025-07-22,Xiaomi,"Android 10, up to Android 11, MIUI 12",china-unionpay,Rupiah,102,774,0.0
2025-05-10,Samsung,Feature phone,jcb,Pound,66,743,0.0
2026-01-05,Motorola,"Symbian 7.0, UIQ v2.1 UI",jcb,Yen,17,430,0.0
2025-03-10,verykool,Android 7.0,jcb,Koruna,234,478,1.0
2025-07-15,Vodafone,Feature phone,jcb,Yuan Renminbi,234,714,0.0
2025-04-16,Samsung,"Android 4.3, up to 4.4.2",jcb,Rupiah,223,293,0.0
2025-10-13,Celkon,Feature phone,switch,Euro,125,866,0.0
2025-03-26,Infinix,Android 6.0,jcb,Ruble,153,270,0.0
2025-04-29,Lava,Android 8.0 Oreo - 1 GB RAM model&hellip;,bankcard,Real,244,311,0.0
2025-04-28,Philips,Feature phone,jcb,Krone,7,738,1.0
2026-01-10,Nokia,"Symbian 7.0s, Series 90 UI",mastercard,Dollar,68,844,0.0
2025-08-10,Motorola,Android 10,switch,Yuan Renminbi,26,712,0.0
2025-03-26,LG,Feature phone,jcb,Litas,181,225,1.0
2025-12-13,ZTE,Feature phone,jcb,Rand,87,273,1.0
2025-12-26,Lava,Android 10,china-unionpay,Dollar,161,734,1.0
2025-09-08,Plum,Android 6.0,jcb,Rupiah,85,872,1.0
2025-09-22,alcatel,Android 11,china-unionpay,Euro,194,707,0.0
2026-01-17,HTC,Android 8.0,diners-club-carte-blanche,Yuan Renminbi,203,400,1.0
2026-01-17,BLU,Android 6.0,americanexpress,Euro,23,888,1.0
2025-07-07,alcatel,Feature phone,visa-electron,Euro,122,363,0.0
2025-07-04,Micromax,Android 4.4.2,jcb,Naira,248,258,0.0
2025-02-05,Lava,Android 5.1,laser,Rupiah,209,303,0.0
2025-12-01,BlackBerry,BlackBerry OS 5.0,jcb,Euro,168,590,1.0
2025-08-06,Icemobile,Android OS,china-unionpay,Koruna,59,491,0.0
2025-02-08,BLU,Feature phone,laser,Lilangeni,133,425,0.0
2025-08-21,ZTE,Android 9.0,maestro,Yen,200,886,0.0
2025-02-24,alcatel,Feature phone,bankcard,Peso,125,307,0.0
2025-05-13,Samsung,Android 3.0,bankcard,Yuan Renminbi,247,629,1.0
2025-11-28,Samsung,Feature phone,jcb,Peso,221,555,0.0
2025-02-21,Huawei,"Android 7.0, EMUI 5.1",jcb,Euro,206,707,0.0
2025-07-26,Samsung,"Android 4.4.4, up to 6.0.1",china-unionpay,Yuan Renminbi,187,765,0.0
2025-03-03,Philips,Feature phone,jcb,Euro,210,633,0.0
2025-12-30,Asus,Microsoft Windows Phone 7,jcb,Sol,226,832,0.0
2025-11-22,LG,Android 5.1,jcb,Baht,179,880,1.0
2025-10-15,Samsung,"Android 4.2.2, TouchWiz UI",jcb,Peso,166,434,0.0
2025-03-16,Wiko,Android 7.0,jcb,Real,72,751,1.0
2025-11-12,HTC,"Android 4.4.2, up to 6, Sense UI 7",diners-club-enroute,Peso,192,295,1.0
2025-03-12,Haier,Feature phone,diners-club-enroute,Rand,36,773,0.0
2025-08-27,Maxon,Feature phone,mastercard,Euro,189,430,1.0
2025-02-24,LG,"Android 10, up to Android 11, LG UX 10",switch,Naira,100,794,0.0
2025-06-20,Wiko,Android 4.4.2,mastercard,Hryvnia,36,493,0.0
2025-11-27,LG,Android 4.4.2,maestro,Dong,206,854,1.0
2025-09-10,HTC,"Android 4.0, Sense UI",laser,Kyat,135,641,0.0
2025-06-23,Samsung,Android 2.2,visa,Ruble,193,426,0.0
2025-06-02,Asus,Microsoft Windows Mobile 5.0 PocketPC,diners-club-enroute,Dirham,237,436,0.0
2025-03-06,Prestigio,Android 4.1,maestro,Peso,184,256,0.0
2025-05-19,Nokia,"Symbian OS 9.1, S60 3rd edition",diners-club-enroute,Bolivar,93,756,0.0
2025-07-04,BenQ,Feature phone,maestro,Rupiah,238,404,0.0
2025-03-15,vivo,"Android 8.1, Funtouch 4",jcb,Rupiah,205,665,0.0
2025-02-21,Motorola,Feature phone,maestro,Dollar,76,375,0.0
2025-07-18,BLU,Android 2.3,china-unionpay,Rupiah,26,309,0.0
2025-04-17,XOLO,Android 4.2,laser,Peso,13,732,1.0
2025-08-27,Kyocera,Microsoft Windows Mobile 6.0 Standard,jcb,Rupiah,237,759,1.0
2025-11-01,vivo,"Android 5.1, Funtouch 2.5",jcb,Dollar,174,442,1.0
2025-01-27,LG,Feature phone,visa-electron,Zloty,35,864,0.0
2025-10-06,Samsung,"Android 4.4.2, TouchWiz UI",jcb,Yuan Renminbi,30,215,1.0
2026-01-17,XOLO,Android 4.4.2,visa,Lek,163,513,1.0
2025-05-09,Samsung,Android 2.2,solo,Yuan Renminbi,188,782,0.0
2025-04-06,Motorola,Feature phone,instapayment,Yuan Renminbi,170,748,0.0
2025-09-02,Samsung,Feature phone,china-unionpay,Rupiah,207,615,1.0
2025-03-19,Nokia,Feature phone,jcb,Rand,115,594,0.0
2025-08-01,LG,Feature phone,switch,Marka,61,783,0.0
2025-04-14,Nokia,"Nokia Asha software platform 1.1.1, up to 1.4",laser,Euro,45,646,1.0
2025-05-29,Motorola,Feature phone,mastercard,Taka,104,759,0.0
2025-03-03,Allview,Microsoft Windows Phone 8.1,jcb,Bolivar,6,261,1.0
2025-10-20,Celkon,Android 5.0,jcb,Euro,113,686,0.0
2025-08-03,Plum,Android 8.0 Oreo,visa-electron,Rupiah,85,400,1.0
2025-07-22,Samsung,"Android 9.0, up to Android 11, One UI 3.1",maestro,Euro,81,264,0.0
2025-07-13,Toshiba,Microsoft Windows Mobile 6.5 Professional,laser,Yuan Renminbi,208,208,0.0
2025-06-13,Huawei,Feature phone,jcb,Ruble,152,627,0.0
2025-09-26,Samsung,Feature phone,jcb,Koruna,134,230,0.0
2025-04-07,Oppo,"Android 11, ColorOS 11.1",jcb,Franc,95,550,1.0
2025-05-06,verykool,Android 5.1,laser,Rupiah,219,443,0.0
2025-03-19,Allview,Android 6.0,instapayment,Pound,201,870,0.0
2025-03-05,Gionee,Android 6.0,jcb,Yuan Renminbi,25,680,0.0
2025-10-18,Spice,Android 4.2,americanexpress,Yuan Renminbi,128,273,1.0
2026-01-15,HP,Android 4.2.2,jcb,Riels,195,244,0.0
2025-06-13,Asus,Feature phone,mastercard,Yuan Renminbi,220,447,1.0
2025-03-06,BLU,Android 5.1,diners-club-carte-blanche,Yen,203,364,0.0
2025-09-16,Allview,Android 4.1,jcb,Dollar,206,737,0.0
2026-01-20,QMobile,Android 4.4.2,mastercard,Euro,165,471,0.0
2025-09-02,Motorola,Feature phone,china-unionpay,Rupiah,147,806,0.0
2025-11-15,vivo,"Android 9.0, Funtouch 9",jcb,Ruble,146,411,0.0
2025-07-13,Huawei,Feature phone,instapayment,Euro,116,717,0.0
2025-03-05,Samsung,Feature phone,diners-club-carte-blanche,Rupiah,61,642,0.0
2025-12-08,BLU,Android 8.1 Oreo,jcb,Rupiah,62,719,0.0
2025-10-23,Samsung,Feature phone,jcb,Shekel,174,449,0.0
2025-03-17,Motorola,Feature phone,bankcard,Euro,30,790,1.0
2025-09-14,Samsung,Android 2.2,visa-electron,Birr,194,212,0.0
2025-11-08,ZTE,Android-based OPhone 2.0,diners-club-carte-blanche,Lev,90,865,1.0
2025-03-19,Motorola,"Android 8.0, up to Android 9.0",americanexpress,Guarani,151,877,0.0
2025-02-21,Celkon,Feature phone,mastercard,Real,224,262,0.0
2025-01-31,Prestigio,Microsoft Windows Phone 8.1,china-unionpay,Peso,228,844,0.0
2025-11-18,Nokia,Feature phone,maestro,Real,59,226,1.0
2025-03-01,Allview,Android 4.0.4,americanexpress,Yuan Renminbi,207,397,0.0
2025-06-08,YU,"Android 4.4.4, up to 5.1",switch,Yuan Renminbi,43,616,0.0
2026-01-02,Samsung,"Android 8.1, up to Android 10, One UI 2.5",jcb,Yuan Renminbi,23,800,1.0
2025-03-10,Lenovo,Android 4.0.3,switch,Rupiah,152,558,0.0
2025-12-10,Nokia,Feature phone,jcb,Rupiah,214,807,1.0
2025-07-17,BLU,Android 6.0,diners-club-enroute,Ruble,17,508,1.0
2025-03-09,Celkon,Android 4.0,switch,Yuan Renminbi,145,694,0.0
2025-12-10,Plum,Feature phone,diners-club-carte-blanche,Yuan Renminbi,150,290,1.0
2025-10-09,HTC,Android 10,jcb,Naira,198,771,0.0
2025-02-26,LG,Feature phone,laser,Yuan Renminbi,163,200,0.0
2025-05-12,Apple,"iOS 8, up to iOS 12.4.6",diners-club-carte-blanche,Franc,9,483,1.0
2025-10-13,vivo,"Android 7.1.1, Funtouch 3.2",jcb,Cedi,149,481,1.0
2025-04-12,alcatel,Android 2.3.5,mastercard,Yuan Renminbi,147,536,1.0
2025-03-01,Nokia,Microsoft Windows Phone 7.5 Mango,diners-club-international,Yuan Renminbi,143,256,1.0
2025-07-28,Plum,Feature phone,americanexpress,Peso,187,887,0.0
2025-04-13,Pantech,Feature phone,maestro,Ruble,30,878,1.0
2025-03-26,Apple,"iOS 13, up to iOS 14.7",diners-club-international,Rupiah,230,832,0.0
2025-07-17,vivo,"Android 9.0, Funtouch 9.1",jcb,Ruble,52,350,0.0
2025-06-20,alcatel,Feature phone,jcb,Yuan Renminbi,112,762,0.0
2025-02-27,alcatel,Android 2.3,bankcard,Hryvnia,182,871,0.0
2025-10-21,LG,"Android 4.4, up to 6.0",jcb,Real,193,604,0.0
2025-08-28,Wiko,Android 7.1,visa-electron,Real,170,684,1.0
2025-02-22,Nokia,Feature phone,diners-club-us-ca,Dram,244,686,0.0
2025-10-25,BLU,Android 6.0,mastercard,Real,80,453,0.0
2025-03-17,Nokia,Android 9.0,jcb,Yuan Renminbi,103,230,0.0
2025-02-05,Allview,Android 5.0,visa,Dollar,182,209,1.0
2025-06-04,Huawei,"Android 9.0, EMUI 9.1",mastercard,Euro,52,790,0.0
2025-01-29,Prestigio,Android 4.2,jcb,Peso,163,327,0.0
2025-10-21,XOLO,Android 4.4.2,switch,Yuan Renminbi,211,802,1.0
2026-01-19,Celkon,Feature phone,jcb,Peso,124,677,1.0
2025-08-11,ZTE,Android 4.4.2,instapayment,Franc,140,289,0.0
2025-02-12,Motorola,Android 2.3,visa,Rupiah,32,772,0.0
2025-02-23,Asus,Feature phone,jcb,Kuna,21,819,0.0
2025-07-06,VK,Feature phone,diners-club-enroute,Rupiah,6,368,0.0
2025-08-03,Ericsson,Feature phone,mastercard,Koruna,60,663,0.0
2025-04-20,Samsung,Microsoft Windows Mobile 6.1 Standard,americanexpress,Yuan Renminbi,112,306,1.0
2025-03-25,Celkon,Android 4.2.2,jcb,Yuan Renminbi,58,566,0.0
2025-07-30,BenQ,Feature phone,jcb,Euro,222,795,1.0
2025-04-13,LG,Android 9.0,jcb,Franc,111,789,0.0
2025-04-24,Lava,Android 10,jcb,Krona,246,729,0.0
2025-03-14,Nokia,"Symbian OS 9.1, S60 3rd edition",jcb,Rial,126,365,0.0
2026-01-04,Allview,Android 4.2,switch,Krona,58,760,1.0
2025-11-21,Motorola,Feature phone,jcb,Rupiah,85,458,0.0
2025-08-25,Realme,Proprietary OS,visa,Franc,60,637,0.0
2025-04-13,Samsung,Feature phone,diners-club-enroute,Krona,87,365,0.0
2025-09-09,Huawei,"Android 10, EMUI 10",mastercard,Yuan Renminbi,67,634,0.0
2025-07-26,Sony,Feature phone,diners-club-enroute,Yuan Renminbi,182,636,0.0
2025-05-10,LG,Android 4.4.2,visa,Hryvnia,59,848,1.0
2026-01-15,Samsung,Android 2.2,maestro,Peso,216,589,0.0
2025-12-26,Asus,Android 4.0.1,visa-electron,Yuan Renminbi,186,736,1.0
2025-04-16,Samsung,Feature phone,diners-club-enroute,Euro,209,691,0.0
2025-03-25,LG,Feature phone,instapayment,Dollar,117,489,1.0
2025-10-26,Micromax,"Android 4.4.4, up to 5.1, Android One",china-unionpay,Hryvnia,15,317,0.0
